Date,paladio
2011-06-24,730.2000122070312
2011-06-27,722.8499755859375
2011-06-28,733.4000244140625
2011-06-29,750.1500244140625
2011-06-30,759.4000244140625
2011-07-01,756.4500122070312
2011-07-05,774.6500244140625
2011-07-06,772.2000122070312
2011-07-07,785.5499877929688
2011-07-08,777.9500122070312
2011-07-11,766.4500122070312
2011-07-12,766.4500122070312
2011-07-13,782.75
2011-07-14,782.0999755859375
2011-07-15,779.4000244140625
2011-07-18,793.3499755859375
2011-07-19,797.0499877929688
2011-07-20,792.4000244140625
2011-07-21,807.75
2011-07-22,805.1500244140625
2011-07-25,807.75
2011-07-26,834.8499755859375
2011-07-27,832.2000122070312
2011-07-28,827.0999755859375
2011-07-29,826.7000122070312
2011-08-01,828.5
2011-08-02,825.9000244140625
2011-08-03,794.0999755859375
2011-08-04,751.9500122070312
2011-08-05,740.75
2011-08-08,727.5
2011-08-09,733.5499877929688
2011-08-10,726.2999877929688
2011-08-11,733.2999877929688
2011-08-12,747.7000122070312
2011-08-15,745.8499755859375
2011-08-16,756.25
2011-08-17,775.6500244140625
2011-08-18,756.75
2011-08-19,748.5499877929688
2011-08-22,764.8499755859375
2011-08-23,764.1500244140625
2011-08-24,742.9000244140625
2011-08-25,750.9000244140625
2011-08-26,756.0999755859375
2011-08-29,753.7000122070312
2011-08-30,777.0499877929688
2011-08-31,788.0999755859375
2011-09-01,788.5499877929688
2011-09-02,781.0999755859375
2011-09-06,747.4500122070312
2011-09-07,750.8499755859375
2011-09-08,763.5999755859375
2011-09-09,737.0999755859375
2011-09-12,710.25
2011-09-13,727.0
2011-09-14,719.2000122070312
2011-09-15,721.7000122070312
2011-09-16,731.2000122070312
2011-09-19,710.3499755859375
2011-09-20,716.0
2011-09-21,711.0999755859375
2011-09-22,662.2999877929688
2011-09-23,640.75
2011-09-26,626.4500122070312
2011-09-27,649.0
2011-09-28,633.7999877929688
2011-09-29,623.0999755859375
2011-09-30,614.0499877929688
2011-10-03,593.25
2011-10-04,563.5
2011-10-05,569.7000122070312
2011-10-06,598.1500244140625
2011-10-07,585.2000122070312
2011-10-10,613.6500244140625
2011-10-11,603.6500244140625
2011-10-12,610.4500122070312
2011-10-13,593.4500122070312
2011-10-14,619.9000244140625
2011-10-17,616.1500244140625
2011-10-18,619.4000244140625
2011-10-19,607.9000244140625
2011-10-20,583.9000244140625
2011-10-21,617.75
2011-10-24,638.0999755859375
2011-10-25,651.7000122070312
2011-10-26,645.75
2011-10-27,669.75
2011-10-28,668.25
2011-10-31,651.0499877929688
2011-11-01,634.9000244140625
2011-11-02,648.5499877929688
2011-11-03,662.0
2011-11-04,655.2000122070312
2011-11-07,661.7999877929688
2011-11-08,677.1500244140625
2011-11-09,654.75
2011-11-10,647.7000122070312
2011-11-11,662.7000122070312
2011-11-14,664.2000122070312
2011-11-15,666.9500122070312
2011-11-16,654.3499755859375
2011-11-17,603.5999755859375
2011-11-18,605.0499877929688
2011-11-21,585.7000122070312
2011-11-22,601.0499877929688
2011-11-23,589.75
2011-11-25,570.0
2011-11-28,578.25
2011-11-29,581.75
2011-11-30,610.0
2011-12-01,627.6500244140625
2011-12-02,643.5999755859375
2011-12-05,644.5
2011-12-06,668.5999755859375
2011-12-07,683.2000122070312
2011-12-08,673.2000122070312
2011-12-09,684.6500244140625
2011-12-12,661.0
2011-12-13,662.1500244140625
2011-12-14,617.7000122070312
2011-12-15,618.8499755859375
2011-12-16,623.6500244140625
2011-12-19,615.5999755859375
2011-12-20,626.6500244140625
2011-12-21,632.1500244140625
2011-12-22,652.4500122070312
2011-12-23,665.5499877929688
2011-12-27,665.9000244140625
2011-12-28,646.5999755859375
2011-12-29,623.2000122070312
2011-12-30,655.5999755859375
2012-01-03,662.9500122070312
2012-01-04,653.0
2012-01-05,643.8499755859375
2012-01-06,613.4500122070312
2012-01-09,617.2999877929688
2012-01-10,634.6500244140625
2012-01-11,645.0999755859375
2012-01-12,640.7000122070312
2012-01-13,634.5
2012-01-17,654.9500122070312
2012-01-18,667.9500122070312
2012-01-19,677.8499755859375
2012-01-20,675.1500244140625
2012-01-23,688.2999877929688
2012-01-24,680.0
2012-01-25,692.7999877929688
2012-01-26,693.9000244140625
2012-01-27,689.5999755859375
2012-01-30,688.0999755859375
2012-01-31,685.9500122070312
2012-02-01,696.2999877929688
2012-02-02,707.25
2012-02-03,708.4500122070312
2012-02-06,705.5499877929688
2012-02-07,708.75
2012-02-08,715.5
2012-02-09,710.9000244140625
2012-02-10,702.6500244140625
2012-02-13,698.1500244140625
2012-02-14,686.8499755859375
2012-02-15,683.25
2012-02-16,696.2000122070312
2012-02-17,687.7000122070312
2012-02-21,710.4500122070312
2012-02-22,717.4500122070312
2012-02-23,718.0999755859375
2012-02-24,710.4500122070312
2012-02-27,705.0
2012-02-28,719.75
2012-02-29,706.6500244140625
2012-03-01,715.0
2012-03-02,710.7999877929688
2012-03-05,705.3499755859375
2012-03-06,670.0
2012-03-07,683.75
2012-03-08,697.4000244140625
2012-03-09,708.2000122070312
2012-03-12,702.75
2012-03-13,707.3499755859375
2012-03-14,695.9500122070312
2012-03-15,708.4000244140625
2012-03-16,700.2000122070312
2012-03-19,706.0999755859375
2012-03-20,695.5499877929688
2012-03-21,687.1500244140625
2012-03-22,649.5499877929688
2012-03-23,658.4000244140625
2012-03-26,667.25
2012-03-27,662.0999755859375
2012-03-28,646.3499755859375
2012-03-29,643.5999755859375
2012-03-30,653.1500244140625
2012-04-02,657.8499755859375
2012-04-03,658.6500244140625
2012-04-04,631.7999877929688
2012-04-05,643.8499755859375
2012-04-09,642.8499755859375
2012-04-10,635.9000244140625
2012-04-11,635.6500244140625
2012-04-12,652.1500244140625
2012-04-13,646.25
2012-04-16,649.75
2012-04-17,661.2000122070312
2012-04-18,656.5
2012-04-19,662.5999755859375
2012-04-20,676.2000122070312
2012-04-23,670.25
2012-04-24,665.1500244140625
2012-04-25,654.4500122070312
2012-04-26,672.0499877929688
2012-04-27,680.9000244140625
2012-04-30,681.75
2012-05-01,680.4500122070312
2012-05-02,668.8499755859375
2012-05-03,660.75
2012-05-04,651.5499877929688
2012-05-07,647.2000122070312
2012-05-08,622.3499755859375
2012-05-09,613.1500244140625
2012-05-10,614.8499755859375
2012-05-11,602.9500122070312
2012-05-14,594.4000244140625
2012-05-15,600.7000122070312
2012-05-16,593.7000122070312
2012-05-17,605.5
2012-05-18,603.25
2012-05-21,610.5
2012-05-22,615.2999877929688
2012-05-23,590.9500122070312
2012-05-24,587.4000244140625
2012-05-25,589.9500122070312
2012-05-29,603.5
2012-05-30,604.7000122070312
2012-05-31,612.0999755859375
2012-06-01,612.2999877929688
2012-06-04,612.25
2012-06-05,618.0499877929688
2012-06-06,631.25
2012-06-07,624.3499755859375
2012-06-08,610.6500244140625
2012-06-11,623.7999877929688
2012-06-12,622.4500122070312
2012-06-13,622.0
2012-06-14,633.5999755859375
2012-06-15,629.0999755859375
2012-06-18,631.8499755859375
2012-06-19,628.25
2012-06-20,618.3499755859375
2012-06-21,607.4000244140625
2012-06-22,605.9500122070312
2012-06-25,606.2000122070312
2012-06-26,592.6500244140625
2012-06-27,577.75
2012-06-28,562.4000244140625
2012-06-29,583.0499877929688
2012-07-02,576.5
2012-07-03,597.4000244140625
2012-07-05,584.25
2012-07-06,578.8499755859375
2012-07-09,582.5999755859375
2012-07-10,575.2999877929688
2012-07-11,581.6500244140625
2012-07-12,573.5
2012-07-13,584.3499755859375
2012-07-16,576.5499877929688
2012-07-17,582.0999755859375
2012-07-18,576.2999877929688
2012-07-19,583.5999755859375
2012-07-20,574.8499755859375
2012-07-23,569.7000122070312
2012-07-24,560.4500122070312
2012-07-25,564.3499755859375
2012-07-26,569.0999755859375
2012-07-27,571.0499877929688
2012-07-30,587.5499877929688
2012-07-31,589.75
2012-08-01,581.7999877929688
2012-08-02,567.0499877929688
2012-08-03,577.4000244140625
2012-08-06,578.8499755859375
2012-08-07,587.5
2012-08-08,585.7999877929688
2012-08-09,586.0
2012-08-10,581.5
2012-08-13,574.0
2012-08-14,577.7000122070312
2012-08-15,577.4000244140625
2012-08-16,582.7999877929688
2012-08-17,604.5
2012-08-20,607.0999755859375
2012-08-21,623.5999755859375
2012-08-22,628.1500244140625
2012-08-23,656.0
2012-08-24,651.5499877929688
2012-08-27,654.1500244140625
2012-08-28,639.2999877929688
2012-08-29,634.75
2012-08-30,614.9000244140625
2012-08-31,627.9500122070312
2012-09-04,640.25
2012-09-05,646.1500244140625
2012-09-06,647.0
2012-09-07,654.0
2012-09-10,672.25
2012-09-11,674.4000244140625
2012-09-12,678.7999877929688
2012-09-13,688.5
2012-09-14,698.7999877929688
2012-09-17,688.5999755859375
2012-09-18,666.8499755859375
2012-09-19,671.0
2012-09-20,659.5999755859375
2012-09-21,670.0499877929688
2012-09-24,644.3499755859375
2012-09-25,639.7000122070312
2012-09-26,624.7000122070312
2012-09-27,634.25
2012-09-28,639.6500244140625
2012-10-01,643.9500122070312
2012-10-02,652.5499877929688
2012-10-03,656.25
2012-10-04,673.0999755859375
2012-10-05,661.75
2012-10-08,655.5
2012-10-09,656.75
2012-10-10,648.4500122070312
2012-10-11,649.4500122070312
2012-10-12,637.9500122070312
2012-10-15,632.9000244140625
2012-10-16,639.25
2012-10-17,653.7000122070312
2012-10-18,647.5
2012-10-19,623.2999877929688
2012-10-22,622.9500122070312
2012-10-23,594.1500244140625
2012-10-24,593.0499877929688
2012-10-25,604.7999877929688
2012-10-26,595.7000122070312
2012-10-31,609.0
2012-11-01,611.6500244140625
2012-11-02,598.8499755859375
2012-11-05,602.2000122070312
2012-11-06,619.3499755859375
2012-11-07,609.5499877929688
2012-11-08,613.5499877929688
2012-11-09,610.25
2012-11-12,607.25
2012-11-13,635.7999877929688
2012-11-14,640.75
2012-11-15,630.4000244140625
2012-11-16,625.75
2012-11-19,644.5999755859375
2012-11-20,637.75
2012-11-21,650.7000122070312
2012-11-23,667.0
2012-11-26,660.7000122070312
2012-11-27,667.75
2012-11-28,672.9000244140625
2012-11-29,685.2000122070312
2012-11-30,686.25
2012-12-03,689.4500122070312
2012-12-04,681.0999755859375
2012-12-05,685.9500122070312
2012-12-06,695.5499877929688
2012-12-07,696.5
2012-12-10,703.25
2012-12-11,695.2999877929688
2012-12-12,699.6500244140625
2012-12-13,690.25
2012-12-14,700.7999877929688
2012-12-17,697.2000122070312
2012-12-18,689.8499755859375
2012-12-19,697.3499755859375
2012-12-20,679.25
2012-12-21,681.2999877929688
2012-12-24,683.5499877929688
2012-12-26,691.4000244140625
2012-12-27,707.3499755859375
2012-12-28,699.5999755859375
2012-12-31,702.6500244140625
2013-01-02,707.25
2013-01-03,696.4500122070312
2013-01-04,687.7999877929688
2013-01-07,669.25
2013-01-08,667.0999755859375
2013-01-09,687.4500122070312
2013-01-10,701.4500122070312
2013-01-11,700.7000122070312
2013-01-14,702.5499877929688
2013-01-15,712.5999755859375
2013-01-16,725.7000122070312
2013-01-17,725.4000244140625
2013-01-18,722.0
2013-01-22,729.1500244140625
2013-01-23,725.4500122070312
2013-01-24,725.9500122070312
2013-01-25,740.25
2013-01-28,739.7999877929688
2013-01-29,749.0499877929688
2013-01-30,751.0
2013-01-31,745.2999877929688
2013-02-01,756.0
2013-02-04,757.4000244140625
2013-02-05,765.0499877929688
2013-02-06,764.4000244140625
2013-02-07,750.0499877929688
2013-02-08,751.0999755859375
2013-02-11,758.2000122070312
2013-02-12,771.0
2013-02-13,771.6500244140625
2013-02-14,763.6500244140625
2013-02-15,752.75
2013-02-19,763.75
2013-02-20,736.0
2013-02-21,733.2000122070312
2013-02-22,734.9000244140625
2013-02-25,748.6500244140625
2013-02-26,739.0
2013-02-27,743.1500244140625
2013-02-28,732.5999755859375
2013-03-01,718.6500244140625
2013-03-04,712.5
2013-03-05,732.5999755859375
2013-03-06,738.0499877929688
