Date,platino
2011-07-19,1775.300048828125
2011-07-20,1775.0
2011-07-21,1786.699951171875
2011-07-22,1797.300048828125
2011-07-25,1792.9000244140625
2011-07-26,1806.0999755859375
2011-07-27,1806.9000244140625
2011-07-28,1792.4000244140625
2011-07-29,1785.300048828125
2011-08-01,1794.5999755859375
2011-08-02,1793.5
2011-08-03,1785.0
2011-08-04,1729.4000244140625
2011-08-05,1719.0999755859375
2011-08-08,1723.5999755859375
2011-08-09,1756.4000244140625
2011-08-10,1771.699951171875
2011-08-11,1792.4000244140625
2011-08-12,1796.699951171875
2011-08-15,1797.199951171875
2011-08-16,1818.0999755859375
2011-08-17,1840.800048828125
2011-08-18,1847.699951171875
2011-08-19,1874.9000244140625
2011-08-22,1905.699951171875
2011-08-23,1880.0999755859375
2011-08-24,1826.300048828125
2011-08-25,1822.4000244140625
2011-08-26,1826.9000244140625
2011-08-29,1825.0
2011-08-30,1853.0999755859375
2011-08-31,1856.199951171875
2011-09-01,1852.9000244140625
2011-09-02,1884.800048828125
2011-09-06,1858.199951171875
2011-09-07,1828.699951171875
2011-09-08,1854.5
2011-09-09,1837.9000244140625
2011-09-12,1809.4000244140625
2011-09-13,1813.5
2011-09-14,1815.9000244140625
2011-09-15,1780.5999755859375
2011-09-16,1813.9000244140625
2011-09-19,1772.0
2011-09-20,1781.9000244140625
2011-09-21,1788.199951171875
2011-09-22,1710.5999755859375
2011-09-23,1613.199951171875
2011-09-26,1546.9000244140625
2011-09-27,1574.0
2011-09-28,1534.199951171875
2011-09-29,1528.300048828125
2011-09-30,1519.4000244140625
2011-10-03,1512.300048828125
2011-10-04,1461.9000244140625
2011-10-05,1478.0
2011-10-06,1503.800048828125
2011-10-07,1489.0
2011-10-10,1520.5999755859375
2011-10-11,1515.199951171875
2011-10-12,1550.5
2011-10-13,1528.5
2011-10-14,1549.5
2011-10-17,1547.300048828125
2011-10-18,1536.699951171875
2011-10-19,1519.0999755859375
2011-10-20,1486.9000244140625
2011-10-21,1503.699951171875
2011-10-24,1538.699951171875
2011-10-25,1565.5
2011-10-26,1594.0999755859375
2011-10-27,1637.5999755859375
2011-10-28,1641.800048828125
2011-10-31,1597.5999755859375
2011-11-01,1578.800048828125
2011-11-02,1598.300048828125
2011-11-03,1644.5999755859375
2011-11-04,1626.800048828125
2011-11-07,1655.5
2011-11-08,1670.5999755859375
2011-11-09,1641.699951171875
2011-11-10,1625.300048828125
2011-11-11,1645.199951171875
2011-11-14,1642.5999755859375
2011-11-15,1641.199951171875
2011-11-16,1629.699951171875
2011-11-17,1579.5999755859375
2011-11-18,1587.0
2011-11-21,1542.0999755859375
2011-11-22,1570.5
2011-11-23,1556.800048828125
2011-11-25,1531.5999755859375
2011-11-28,1538.0
2011-11-29,1539.699951171875
2011-11-30,1559.800048828125
2011-12-01,1556.199951171875
2011-12-02,1547.5
2011-12-05,1531.5
2011-12-06,1523.0
2011-12-07,1521.0
2011-12-08,1493.4000244140625
2011-12-09,1514.800048828125
2011-12-12,1485.9000244140625
2011-12-13,1491.300048828125
2011-12-14,1425.300048828125
2011-12-15,1406.0
2011-12-16,1416.300048828125
2011-12-19,1412.5999755859375
2011-12-20,1431.9000244140625
2011-12-21,1430.699951171875
2011-12-22,1423.4000244140625
2011-12-23,1429.5
2011-12-27,1433.9000244140625
2011-12-28,1387.699951171875
2011-12-29,1363.4000244140625
2011-12-30,1399.699951171875
2012-01-03,1427.300048828125
2012-01-04,1423.0999755859375
2012-01-05,1414.5
2012-01-06,1404.5
2012-01-09,1427.5
2012-01-10,1462.4000244140625
2012-01-11,1496.5999755859375
2012-01-12,1499.0
2012-01-13,1486.800048828125
2012-01-17,1526.699951171875
2012-01-18,1523.300048828125
2012-01-19,1516.0
2012-01-20,1530.300048828125
2012-01-23,1559.0999755859375
2012-01-24,1550.199951171875
2012-01-25,1577.4000244140625
2012-01-26,1613.800048828125
2012-01-27,1620.0
2012-01-30,1613.699951171875
2012-01-31,1585.5
2012-02-01,1620.5999755859375
2012-02-02,1627.300048828125
2012-02-03,1629.300048828125
2012-02-06,1627.199951171875
2012-02-07,1652.199951171875
2012-02-08,1665.5
2012-02-09,1665.0
2012-02-10,1657.199951171875
2012-02-13,1647.0999755859375
2012-02-14,1625.4000244140625
2012-02-15,1635.5999755859375
2012-02-16,1623.5
2012-02-17,1631.300048828125
2012-02-21,1682.4000244140625
2012-02-22,1718.300048828125
2012-02-23,1720.5
2012-02-24,1712.5999755859375
2012-02-27,1711.800048828125
2012-02-28,1722.0
2012-02-29,1691.0999755859375
2012-03-01,1699.5999755859375
2012-03-02,1690.199951171875
2012-03-05,1661.0999755859375
2012-03-06,1610.4000244140625
2012-03-07,1625.800048828125
2012-03-08,1655.199951171875
2012-03-09,1683.4000244140625
2012-03-12,1694.199951171875
2012-03-13,1700.300048828125
2012-03-14,1673.800048828125
2012-03-15,1682.4000244140625
2012-03-16,1674.0
2012-03-19,1683.199951171875
2012-03-20,1652.800048828125
2012-03-21,1638.9000244140625
2012-03-22,1611.5999755859375
2012-03-23,1627.5
2012-03-26,1646.5
2012-03-27,1657.4000244140625
2012-03-28,1635.0999755859375
2012-03-29,1622.699951171875
2012-03-30,1638.300048828125
2012-04-02,1649.0999755859375
2012-04-03,1655.199951171875
2012-04-04,1593.9000244140625
2012-04-05,1602.9000244140625
2012-04-09,1613.5999755859375
2012-04-10,1589.199951171875
2012-04-11,1579.800048828125
2012-04-12,1601.5
2012-04-13,1583.4000244140625
2012-04-16,1571.699951171875
2012-04-17,1580.5999755859375
2012-04-18,1575.300048828125
2012-04-19,1574.199951171875
2012-04-20,1580.4000244140625
2012-04-23,1552.5
2012-04-24,1544.4000244140625
2012-04-25,1543.5999755859375
2012-04-26,1566.199951171875
2012-04-27,1571.699951171875
2012-04-30,1567.699951171875
2012-05-01,1568.0999755859375
2012-05-02,1560.199951171875
2012-05-03,1528.9000244140625
2012-05-04,1531.800048828125
2012-05-07,1525.9000244140625
2012-05-08,1505.800048828125
2012-05-09,1496.699951171875
2012-05-10,1491.300048828125
2012-05-11,1469.0999755859375
2012-05-14,1440.300048828125
2012-05-15,1444.199951171875
2012-05-16,1429.9000244140625
2012-05-17,1451.199951171875
2012-05-18,1457.0999755859375
2012-05-21,1459.5
2012-05-22,1456.4000244140625
2012-05-23,1412.300048828125
2012-05-24,1420.5999755859375
2012-05-25,1424.699951171875
2012-05-29,1426.300048828125
2012-05-30,1399.699951171875
2012-05-31,1416.0999755859375
2012-06-01,1431.699951171875
2012-06-04,1425.800048828125
2012-06-05,1439.0
2012-06-06,1467.699951171875
2012-06-07,1439.4000244140625
2012-06-08,1423.5999755859375
2012-06-11,1447.800048828125
2012-06-12,1452.9000244140625
2012-06-13,1465.300048828125
2012-06-14,1486.0999755859375
2012-06-15,1485.699951171875
2012-06-18,1482.5999755859375
2012-06-19,1479.0
2012-06-20,1465.300048828125
2012-06-21,1437.9000244140625
2012-06-22,1430.699951171875
2012-06-25,1439.0999755859375
2012-06-26,1426.800048828125
2012-06-27,1409.699951171875
2012-06-28,1386.4000244140625
2012-06-29,1449.0999755859375
2012-07-02,1455.5999755859375
2012-07-03,1488.699951171875
2012-07-05,1475.0
2012-07-06,1446.800048828125
2012-07-09,1443.199951171875
2012-07-10,1427.0
2012-07-11,1428.9000244140625
2012-07-12,1409.800048828125
2012-07-13,1432.5
2012-07-16,1414.800048828125
2012-07-17,1418.300048828125
2012-07-18,1401.800048828125
2012-07-19,1420.699951171875
2012-07-20,1412.0999755859375
2012-07-23,1396.5
2012-07-24,1382.300048828125
2012-07-25,1395.0999755859375
2012-07-26,1406.5999755859375
2012-07-27,1406.699951171875
2012-07-30,1410.300048828125
2012-07-31,1415.4000244140625
2012-08-01,1399.800048828125
2012-08-02,1386.300048828125
2012-08-03,1412.9000244140625
2012-08-06,1400.4000244140625
2012-08-07,1408.9000244140625
2012-08-08,1408.699951171875
2012-08-09,1411.300048828125
2012-08-10,1398.4000244140625
2012-08-13,1391.300048828125
2012-08-14,1397.5999755859375
2012-08-15,1394.9000244140625
2012-08-16,1433.9000244140625
2012-08-17,1471.800048828125
2012-08-20,1496.9000244140625
2012-08-21,1506.5
2012-08-22,1525.199951171875
2012-08-23,1553.5999755859375
2012-08-24,1553.0999755859375
2012-08-27,1551.9000244140625
2012-08-28,1519.0999755859375
2012-08-29,1519.199951171875
2012-08-30,1502.699951171875
2012-08-31,1536.300048828125
2012-09-04,1566.5
2012-09-05,1574.5999755859375
2012-09-06,1585.4000244140625
2012-09-07,1595.300048828125
2012-09-10,1602.800048828125
2012-09-11,1606.0
2012-09-12,1648.5999755859375
2012-09-13,1678.5
2012-09-14,1712.699951171875
2012-09-17,1671.5999755859375
2012-09-18,1635.300048828125
2012-09-19,1639.9000244140625
2012-09-20,1623.4000244140625
2012-09-21,1637.0999755859375
2012-09-24,1622.0
2012-09-25,1631.800048828125
2012-09-26,1634.4000244140625
2012-09-27,1645.9000244140625
2012-09-28,1665.300048828125
2012-10-01,1681.5
2012-10-02,1682.9000244140625
2012-10-03,1690.300048828125
2012-10-04,1721.199951171875
2012-10-05,1703.300048828125
2012-10-08,1694.9000244140625
2012-10-09,1691.5999755859375
2012-10-10,1676.699951171875
2012-10-11,1687.800048828125
2012-10-12,1657.0999755859375
2012-10-15,1631.300048828125
2012-10-16,1642.699951171875
2012-10-17,1668.0
2012-10-18,1641.199951171875
2012-10-19,1613.0
2012-10-22,1609.699951171875
2012-10-23,1573.0999755859375
2012-10-24,1560.199951171875
2012-10-25,1567.0999755859375
2012-10-26,1544.300048828125
2012-10-31,1576.0
2012-11-01,1570.699951171875
2012-11-02,1540.9000244140625
2012-11-05,1538.699951171875
2012-11-06,1554.300048828125
2012-11-07,1535.5
2012-11-08,1538.5
2012-11-09,1555.4000244140625
2012-11-12,1562.5
2012-11-13,1583.4000244140625
2012-11-14,1588.5999755859375
2012-11-15,1570.300048828125
2012-11-16,1559.0
2012-11-19,1581.0
2012-11-20,1570.5
2012-11-21,1581.4000244140625
2012-11-23,1614.5999755859375
2012-11-26,1621.5
2012-11-27,1617.699951171875
2012-11-28,1610.0
2012-11-29,1618.0
2012-11-30,1603.0999755859375
2012-12-03,1612.300048828125
2012-12-04,1581.4000244140625
2012-12-05,1582.699951171875
2012-12-06,1599.199951171875
2012-12-07,1605.5
2012-12-10,1621.800048828125
2012-12-11,1638.5
2012-12-12,1644.9000244140625
2012-12-13,1611.9000244140625
2012-12-14,1619.5
2012-12-17,1609.5
2012-12-18,1594.5
2012-12-19,1593.699951171875
2012-12-20,1546.699951171875
2012-12-21,1537.4000244140625
2012-12-24,1535.4000244140625
2012-12-26,1535.4000244140625
2012-12-27,1532.300048828125
2012-12-28,1517.4000244140625
2012-12-31,1538.699951171875
2013-01-02,1565.0999755859375
2013-01-03,1576.699951171875
2013-01-04,1555.199951171875
2013-01-07,1553.800048828125
2013-01-08,1580.5999755859375
2013-01-09,1597.800048828125
2013-01-10,1632.4000244140625
2013-01-11,1629.300048828125
2013-01-14,1656.300048828125
2013-01-15,1688.0
2013-01-16,1692.199951171875
2013-01-17,1697.800048828125
2013-01-18,1672.0999755859375
2013-01-22,1698.4000244140625
2013-01-23,1691.699951171875
2013-01-24,1682.800048828125
2013-01-25,1693.9000244140625
